,sentence_id,formality_score_from_raters,informativeness,implicature_score,length_in_words,length_in_characters,f_score,i_score,lexical_density,total_syllables_stop_words_excluded,total_syllables_per_word_stop_words_excluded,total_syllables_stop_words_included,total_syllables_per_word_stop_words_included,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_verbs,number_of_pronouns,number_of_stop_words,proportion_of_stop_words,number_of_spelling_and_grammatical_errors,spelling_and_grammar_errors_per_character,positive_vader_score,negative_vader_score,neutral_vader_score,compound_vader_score
sentence_id,1.0,0.05593337573244729,-0.003368959391713367,0.04523960301440486,-0.004503971792578672,0.0012184783824369123,-0.025258287613191203,-0.02637669193637791,0.01936357941892045,-0.004397889102938517,-0.0058621409546717965,-0.002432273962286657,-0.015588739048207633,-0.007449067819050493,-0.014764568685026017,0.007690231240858782,0.01127718195359512,-0.015118797475234187,0.0031076188781847054,0.032330113663934915,-0.032612333265841995,-0.026806322564565895,0.009531602898316435,0.016145113819161176,-0.018549929631404786,0.00041584653581875784
formality_score_from_raters,0.05593337573244729,1.0,0.670045729600098,-0.07604665282216508,0.4509149996105001,0.5112154685799635,0.3494196321975738,-0.01993738889699961,-0.022818021347722973,0.5592755157003981,0.3494912628846503,0.5244878394105114,0.3264081671396278,0.5236812516590386,0.32670670501745674,-0.016689903652313813,0.258321376495384,-0.09703135393603622,0.29403219931655167,-0.19586294283066674,-0.13394716303911086,-0.2984268091574622,-0.1512575809190181,0.06550250677216236,0.09312786786270622,-0.08063756111932133
informativeness,-0.003368959391713367,0.670045729600098,1.0,-0.2050342027926462,0.5441605884189135,0.5827643702511732,0.35184551964566274,0.05167829834100437,-0.051635445918724696,0.6006943797527374,0.2899133094557734,0.5844874495989981,0.271799176507129,0.5823472608108609,0.3688727171739551,0.07696610843841914,0.3452201108330298,0.00822488829211337,0.39207058074484835,-0.18935466357724773,0.057079438615889724,-0.21338726683583067,-0.20801358900549136,0.0326428924492848,0.16404831875823203,-0.07402431704423812
implicature_score,0.04523960301440486,-0.07604665282216508,-0.2050342027926462,1.0,-0.005123805615600077,-0.021323841096541975,-0.14377291426317343,0.020793103056555393,-0.006046836007054178,-0.04878113310382677,-0.02956748107382341,-0.024257954261175663,-0.06988453054442618,-0.11061223416996598,0.009023461647753386,0.10614105441283525,0.08254908750059513,0.1265389449120482,0.060988240649891085,0.13254957325832614,-0.10714459464740653,-0.0843380140593311,0.031793401199487786,0.08039322351405882,-0.07854802832463524,-0.01314105009254154
length_in_words,-0.004503971792578672,0.4509149996105001,0.5441605884189135,-0.005123805615600077,1.0,0.9789715989334907,0.21879746359095256,0.06624461675769537,-0.20188740784701292,0.9057748749291618,0.13758415267332766,0.9665377726604338,0.07859218559941847,0.8328266839594465,0.5985667710452891,0.421854013317814,0.7710030066401207,0.40956441265714294,0.9170218506489558,0.01021268842050826,0.1700138349881287,-0.17776279944525195,-0.11803044540551462,0.01221440421977659,0.0970258776105139,0.024147416105036037
length_in_characters,0.0012184783824369123,0.5112154685799635,0.5827643702511732,-0.021323841096541975,0.9789715989334907,1.0,0.27202721929856216,0.022469555380377405,-0.12090447009607244,0.9638243872096722,0.25370431055283826,0.992840175980533,0.21698258123146508,0.8748634643448215,0.6286106505288528,0.37884274806022156,0.7246596423150359,0.3231104864002198,0.8481145843437725,-0.07802617457125484,0.1674789134307549,-0.18475039747376526,-0.1137597098301285,0.019043089885059088,0.08896068631376675,0.021059668038104908
f_score,-0.025258287613191203,0.3494196321975738,0.35184551964566274,-0.14377291426317343,0.21879746359095256,0.27202721929856216,1.0,-0.10713088299528156,0.04317737492894603,0.3321854601338501,0.2414472302072968,0.28321860097951906,0.3048660166456531,0.4690957931695676,0.27945436064700396,-0.3027892387117098,-0.16890635803527318,-0.3777822755459815,0.05435458725368482,-0.4283935218064486,-0.0007442608446257173,-0.030893355461026478,0.023050954234123462,-0.002652507795707963,-0.018773531915925516,0.019634479437425995
i_score,-0.02637669193637791,-0.01993738889699961,0.05167829834100437,0.020793103056555393,0.06624461675769537,0.022469555380377405,-0.10713088299528156,1.0,-0.02881677930731952,-0.02338988469402919,-0.1517515523582459,0.01204819693305176,-0.1824426560297181,-0.028763437055204885,0.043256534868445884,0.06126164369599336,0.19171115726127563,0.0686011885004129,0.0964442155602073,0.09539424068904978,-0.025511513519412787,-0.08091871014724294,-0.04840299279478005,0.0026193212802119517,0.041282371162665706,0.004481848344005106
lexical_density,0.01936357941892045,-0.022818021347722973,-0.051635445918724696,-0.006046836007054178,-0.20188740784701292,-0.12090447009607244,0.04317737492894603,-0.02881677930731952,1.0,-0.03208319022388727,0.1862129221319015,-0.11855764928426574,0.3627884510189225,-0.00936848502579149,0.022443678219418818,0.053536933161796134,-0.12389731682641457,-0.2677092548949423,-0.3246129564148065,-0.46946531895016314,-0.01567867718297163,0.04030445593536173,0.10098296844290616,0.01123480284146345,-0.09661368797112276,0.00048085651765690236
total_syllables_stop_words_excluded,-0.004397889102938517,0.5592755157003981,0.6006943797527374,-0.04878113310382677,0.9057748749291618,0.9638243872096722,0.3321854601338501,-0.02338988469402919,-0.03208319022388727,1.0,0.36758696823310616,0.9776089007699508,0.36804492543303385,0.8969027954477136,0.6320201754862721,0.29963133504257916,0.613814112808617,0.1892251368385317,0.7028686486761077,-0.21934019939687563,0.16554826563284764,-0.17471378319178868,-0.10128089990654919,0.023208919571855956,0.07528778060308723,0.019009823321662837
